,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2,layer
NFATC3,2.3476912999999997,19.0,2.3476912999999997,68.37340999999999,30.201023,1.0
FADD,2.0235827,27.0,2.0235827,58.88601,20.510801,1.0
TRADD,1.3661462,24.0,1.3661462,39.798027000000005,19.251179999999998,1.0
ERBB2,1.3253464,19.0,1.3253464,38.558487,13.327848999999999,1.0
RB1,1.2736644,24.0,1.2736644,37.053886,12.033000999999999,1.0
FOXO1,0.8331427,16.0,0.8331427,24.229132,7.9042068,1.0
JAK1,0.6607218,26.0,0.6607218,19.2095,4.496121400000001,1.0
CTNNA3,0.6529378,8.0,0.6529378,18.982886999999998,6.8604035,1.0
COL4A1,0.392291,10.0,0.392291,11.394765,3.4985519999999997,1.0
BCR,0.38413509999999995,2.0,0.38413509999999995,11.157325,4.493687,1.0
